observation_id,snapshot_id,brand,market,currency,observed_at,source_effective_date,source_id,reference_code,family,model,size_label,material_group,color,price_status,price,comparison_group_id,lineage_id,inclusion_status,exclusion_reason
supp:CHANEL-FR-AS3980B1905994305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS3980B1905994305,AS3980-B19059-94305,Chanel 22,CHANEL 22 Mini Handbag,mini,leather,Black,numeric,5050,FR|hobo|mini|leather,,accepted_supplementary,
supp:CHANEL-US-AS3980B1905994305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS3980B1905994305,AS3980-B19059-94305,Chanel 22,CHANEL 22 Mini Handbag,mini,leather,Black,numeric,5500,US|hobo|mini|leather,,accepted_supplementary,
supp:CHANEL-FR-AS3261B1905994305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS3261B1905994305,AS3261-B19059-94305,Chanel 22,CHANEL 22 Handbag,standard,leather,Black,numeric,5950,FR|hobo|standard|leather,,accepted_supplementary,
supp:CHANEL-US-AS3261B1905994305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS3261B1905994305,AS3261-B19059-94305,Chanel 22,CHANEL 22 Handbag,standard,leather,Black,numeric,6400,US|hobo|standard|leather,,accepted_supplementary,
supp:CHANEL-FR-AS5631B2030410601-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS5631B2030410601,AS5631-B20304-10601,Chanel 25,CHANEL 25 Mini Handbag,mini,leather,White,numeric,5600,FR|hobo|mini|leather,,accepted_supplementary_seasonal,seasonal collection; exclude from regular-core headline unless sensitivity is explicit
supp:CHANEL-US-AS5631B2030410601-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS5631B2030410601,AS5631-B20304-10601,Chanel 25,CHANEL 25 Mini Handbag,mini,leather,White,numeric,6300,US|hobo|mini|leather,,accepted_supplementary_seasonal,seasonal collection; exclude from regular-core headline unless sensitivity is explicit
supp:CHANEL-FR-AS5311B2030494305-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AS5311B2030494305,AS5311-B20304-94305,Chanel 25,CHANEL 25 Medium Handbag,medium,leather,Black,numeric,6400,FR|hobo|medium|leather,,accepted_supplementary,
supp:CHANEL-US-AS5311B2030494305-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AS5311B2030494305,AS5311-B20304-94305,Chanel 25,CHANEL 25 Medium Handbag,medium,leather,Black,numeric,7000,US|hobo|medium|leather,,accepted_supplementary,
supp:CHANEL-FR-AP4241Y01480C3906-20260907,supplementary_current_2026-09-07,Chanel,FR,EUR,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-FR-AP4241Y01480C3906,AP4241-Y01480-C3906,WOC,Classic Wallet on Chain,small,leather,Black & Burgundy,numeric,3550,FR|small_leather_goods|small|leather,,sensitivity_only,WOC is outside the main handbag denominator
supp:CHANEL-US-AP4241Y01480C3906-20260907,supplementary_current_2026-09-07,Chanel,US,USD,2026-09-07T10:18:05+08:00,,SRC-SUPP-CH-US-AP4241Y01480C3906,AP4241-Y01480-C3906,WOC,Classic Wallet on Chain,small,leather,Black & Burgundy,numeric,3850,US|small_leather_goods|small|leather,,sensitivity_only,WOC is outside the main handbag denominator
