brand,product_name,product_family,sku_or_reference,category,subcategory,material,color,dimensions,market,country,currency,price,availability,source_url,observed_at,extraction_method
CHANEL,Small Shopping Bag,Shopping Bag,AS6495-B25347-UA954,Handbags,Shopping & bowling bags,Lambskin & Gold-Tone Metal,Light Pink,9.8 x 11.8 x 4.7 in,United States,United States,USD,6600,contact_us,https://www.chanel.com/us/fashion/p/AS6495B25347UA954/small-shopping-bag-lambskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini cabas,Shopping Bag,AS6199-B25388-94305,Handbags,Shopping & bowling bags,Veau & métal doré,Noir,20.5 x 21 x 15 cm,France,France,EUR,5600,contact_us,https://www.chanel.com/fr/mode/p/AS6199B2538894305/mini-cabas-veau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini Shopping Bag,Shopping Bag,AS6199-B25388-94305,Handbags,Shopping & bowling bags,Calfskin & Gold-Tone Metal,Black,8.1 x 8.3 x 5.9 in,United States,United States,USD,6300,contact_us,https://www.chanel.com/us/fashion/p/AS6199B2538894305/mini-shopping-bag-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Small Shopping Bag,Shopping Bag,AS6200-B25749-UD596,Handbags,Shopping & bowling bags,Canvas & Gold-Tone Metal,"Ecru, Black, Beige & Red",11.8 x 14.2 x 6.7 in,United States,United States,USD,6100,contact_us,https://www.chanel.com/us/fashion/p/AS6200B25749UD596/small-shopping-bag-canvas-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini cabas,Shopping Bag,AS6199-B25749-UD595,Handbags,Shopping & bowling bags,Toile & métal doré,"Noir, blanc & gris",20.5 x 21 x 15 cm,France,France,EUR,4900,contact_us,https://www.chanel.com/fr/mode/p/AS6199B25749UD595/mini-cabas-toile-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Mini Shopping Bag,Shopping Bag,AS6199-B25749-UD595,Handbags,Shopping & bowling bags,Canvas & Gold-Tone Metal,"Black, White & Gray",8.1 x 8.3 x 5.9 in,United States,United States,USD,5500,contact_us,https://www.chanel.com/us/fashion/p/AS6199B25749UD595/mini-shopping-bag-canvas-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Grand sac bowling,Bowling Bag,AS6211-B25711-UB662,Handbags,Shopping & bowling bags,Veau & métal argenté,Gris foncé,19 x 35.5 x 12.5 cm,France,France,EUR,6200,contact_us,https://www.chanel.com/fr/mode/p/AS6211B25711UB662/grand-sac-bowling-veau-metal-argente/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Large Bowling Bag,Bowling Bag,AS6211-B25711-UB662,Handbags,Shopping & bowling bags,Calfskin & Silver-Tone Metal,Dark Gray,7.5 x 14 x 4.9 in,United States,United States,USD,6900,contact_us,https://www.chanel.com/us/fashion/p/AS6211B25711UB662/large-bowling-bag-calfskin-silver-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Grand sac bowling,Bowling Bag,AS6580-B24074-U9390,Handbags,Shopping & bowling bags,"Veau velours, veau & métal doré",Beige foncé,17 x 29 x 10 cm,France,France,EUR,5800,contact_us,https://www.chanel.com/fr/mode/p/AS6580B24074U9390/grand-sac-bowling-veau-velours-veau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Large Bowling Bag,Bowling Bag,AS6580-B24074-U9390,Handbags,Shopping & bowling bags,"Suede Calfskin, Calfskin & Gold-Tone Metal",Dark Beige,6.7 x 11.4 x 3.9 in,United States,United States,USD,6500,contact_us,https://www.chanel.com/us/fashion/p/AS6580B24074U9390/large-bowling-bag-suede-calfskin-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Cabas,Shopping Bag,AS6590-B25996-U9390,Handbags,Shopping & bowling bags,Veau velours & métal doré,Beige foncé,39 x 35 x 12 cm,France,France,EUR,6000,contact_us,https://www.chanel.com/fr/mode/p/AS6590B25996U9390/cabas-veau-velours-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Shopping Bag,Shopping Bag,AS6590-B25996-U9390,Handbags,Shopping & bowling bags,Suede Calfskin & Gold-Tone Metal,Dark Beige,15.4 x 13.8 x 4.7 in,United States,United States,USD,6700,contact_us,https://www.chanel.com/us/fashion/p/AS6590B25996U9390/shopping-bag-suede-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Cabas,Shopping Bag,AS6475-B25599-UD180,Handbags,Shopping & bowling bags,Veau velours & métal doré,Bleu,24.5 x 44.5 x 18 cm,France,France,EUR,6500,contact_us,https://www.chanel.com/fr/mode/p/AS6475B25599UD180/cabas-veau-velours-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Shopping Bag,Shopping Bag,AS6475-B25599-UD180,Handbags,Shopping & bowling bags,Suede Calfskin & Gold-Tone Metal,Blue,9.6 x 17.5 x 7.1 in,United States,United States,USD,7300,contact_us,https://www.chanel.com/us/fashion/p/AS6475B25599UD180/shopping-bag-suede-calfskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Petit cabas,Shopping Bag,AS6224-B24988-UA104,Handbags,Shopping & bowling bags,"Veau grainé, agneau & métal doré",Noir & bordeaux,24 x 29 x 15 cm,France,France,EUR,6700,contact_us,https://www.chanel.com/fr/mode/p/AS6224B24988UA104/petit-cabas-veau-graine-agneau-metal-dore/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
CHANEL,Small Shopping Bag,Shopping Bag,AS6224-B24988-UA104,Handbags,Shopping & bowling bags,"Grained Calfskin, Lambskin & Gold-Tone Metal",Black & Burgundy,9.4 x 11.4 x 5.9 in,United States,United States,USD,7400,contact_us,https://www.chanel.com/us/fashion/p/AS6224B24988UA104/small-shopping-bag-grained-calfskin-lambskin-gold-tone-metal/,2026-08-15T19:20:31+08:00,browser_rendered_web_dom
